key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,ContentType,Content[0],Content[1],Score[0],Score[1],Score[2],Score[3],Score[4],Score[5],RewardCount[0],RewardCount[1],RewardCount[2],RewardCount[3],RewardCount[4]
int32,CSBonusContentType,CSBonusContentIdentifier,CSBonusContentIdentifier,uint16,int32,int32,int32,int32,int32,byte,byte,byte,byte,byte
0,"","","",0,-1,-1,-1,-1,-1,0,0,0,0,0
1,"迷宫挑战","InstanceContent#9","",0,-1,-1,-1,-1,-1,3,0,0,0,0
2,"迷宫挑战","InstanceContent#12","",0,-1,-1,-1,-1,-1,3,0,0,0,0
3,"迷宫挑战","InstanceContent#13","",0,-1,-1,-1,-1,-1,3,0,0,0,0
4,"迷宫挑战","InstanceContent#25","",0,-1,-1,-1,-1,-1,4,0,0,0,0
5,"迷宫挑战","InstanceContent#28","",0,-1,-1,-1,-1,-1,4,0,0,0,0
6,"迷宫挑战","InstanceContent#26","",0,-1,-1,-1,-1,-1,4,0,0,0,0
7,"迷宫挑战","InstanceContent#30","",0,-1,-1,-1,-1,-1,4,0,0,0,0
8,"迷宫挑战","InstanceContent#38","",0,-1,-1,-1,-1,-1,4,0,0,0,0
9,"迷宫挑战","InstanceContent#56","",0,-1,-1,-1,-1,-1,4,0,0,0,0
10,"迷宫挑战","InstanceContent#59","",0,-1,-1,-1,-1,-1,4,0,0,0,0
11,"迷宫挑战","InstanceContent#67","",0,-1,-1,-1,-1,-1,4,0,0,0,0
12,"迷宫挑战","InstanceContent#84","",0,-1,-1,-1,-1,-1,4,0,0,0,0
13,"大型任务","InstanceContent#30001","",0,-1,-1,-1,-1,-1,3,0,0,0,0
14,"大型任务","InstanceContent#30011","",0,-1,-1,-1,-1,-1,3,0,0,0,0
15,"大型任务","InstanceContent#30020","",0,-1,-1,-1,-1,-1,3,0,0,0,0
16,"大型任务","InstanceContent#30058","",0,-1,-1,-1,-1,-1,5,0,0,0,0
17,"大型任务","InstanceContent#30068","",0,-1,-1,-1,-1,-1,6,0,0,0,0
18,"大型任务","InstanceContent#30077","",0,-1,-1,-1,-1,-1,7,0,0,0,0
19,"大型任务","InstanceContent#30049","",0,-1,-1,-1,-1,-1,2,0,0,0,0
20,"大型任务","InstanceContent#30050","",0,-1,-1,-1,-1,-1,2,0,0,0,0
21,"大型任务","InstanceContent#30051","",0,-1,-1,-1,-1,-1,2,0,0,0,0
22,"大型任务","InstanceContent#30052","",0,-1,-1,-1,-1,-1,2,0,0,0,0
23,"大型任务","InstanceContent#30059","",0,-1,-1,-1,-1,-1,2,0,0,0,0
24,"大型任务","InstanceContent#30060","",0,-1,-1,-1,-1,-1,2,0,0,0,0
25,"大型任务","InstanceContent#30061","",0,-1,-1,-1,-1,-1,2,0,0,0,0
26,"大型任务","InstanceContent#30062","",0,-1,-1,-1,-1,-1,2,0,0,0,0
27,"大型任务","InstanceContent#30069","",0,-1,-1,-1,-1,-1,2,0,0,0,0
28,"大型任务","InstanceContent#30070","",0,-1,-1,-1,-1,-1,2,0,0,0,0
29,"大型任务","InstanceContent#30071","",0,-1,-1,-1,-1,-1,2,0,0,0,0
30,"大型任务","InstanceContent#30072","",0,-1,-1,-1,-1,-1,2,0,0,0,0
31,"大型任务","InstanceContent#30078","",0,-1,-1,-1,-1,-1,2,0,0,0,0
32,"大型任务","InstanceContent#30082","",0,-1,-1,-1,-1,-1,2,0,0,0,0
33,"大型任务","InstanceContent#30080","",0,-1,-1,-1,-1,-1,2,0,0,0,0
34,"大型任务","InstanceContent#30084","",0,-1,-1,-1,-1,-1,2,0,0,0,0
35,"大型任务","InstanceContent#30088","",0,-1,-1,-1,-1,-1,2,0,0,0,0
36,"大型任务","InstanceContent#30090","",0,-1,-1,-1,-1,-1,2,0,0,0,0
37,"大型任务","InstanceContent#30092","",0,-1,-1,-1,-1,-1,2,0,0,0,0
38,"大型任务","InstanceContent#30094","",0,-1,-1,-1,-1,-1,2,0,0,0,0
39,"大型任务","InstanceContent#30097","",0,-1,-1,-1,-1,-1,2,0,0,0,0
40,"大型任务","InstanceContent#30099","",0,-1,-1,-1,-1,-1,2,0,0,0,0
41,"大型任务","InstanceContent#30101","",0,-1,-1,-1,-1,-1,2,0,0,0,0
42,"大型任务","InstanceContent#30103","",0,-1,-1,-1,-1,-1,2,0,0,0,0
43,"讨伐歼灭战","InstanceContent#20037","",0,-1,-1,-1,-1,-1,2,0,0,0,0
44,"讨伐歼灭战","InstanceContent#20041","",0,-1,-1,-1,-1,-1,2,0,0,0,0
45,"讨伐歼灭战","InstanceContent#20043","",0,-1,-1,-1,-1,-1,2,0,0,0,0
46,"讨伐歼灭战","InstanceContent#20051","",0,-1,-1,-1,-1,-1,2,0,0,0,0
47,"讨伐歼灭战","InstanceContent#20057","",0,-1,-1,-1,-1,-1,2,0,0,0,0
48,"讨伐歼灭战","InstanceContent#20060","",0,-1,-1,-1,-1,-1,2,0,0,0,0
49,"迷宫挑战","InstanceContent#15","",0,-1,-1,-1,-1,-1,4,0,0,0,0
50,"迷宫挑战","InstanceContent#86","",0,-1,-1,-1,-1,-1,7,0,0,0,0
51,"讨伐歼灭战","InstanceContent#20082","",0,-1,-1,-1,-1,-1,3,0,0,0,0
52,"对战","InstanceContent#50001","",0,3,2,1,-1,-1,5,3,3,0,0
53,"对战","InstanceContent#50004","",0,3,2,1,-1,-1,5,3,3,0,0
54,"对战","InstanceContent#50005","",0,3,2,1,-1,-1,5,3,3,0,0
55,"对战","InstanceContent#50006","",0,3,2,1,-1,-1,5,3,3,0,0
56,"对战","InstanceContent#51002","",0,3,2,1,-1,-1,5,3,3,0,0
57,"迷宫挑战","InstanceContent#9","",0,1,-1,-1,-1,-1,20,0,0,0,0
58,"迷宫挑战","InstanceContent#12","",0,1,-1,-1,-1,-1,20,0,0,0,0
59,"迷宫挑战","InstanceContent#13","",0,1,-1,-1,-1,-1,20,0,0,0,0
60,"迷宫挑战","InstanceContent#25","",0,1,-1,-1,-1,-1,20,0,0,0,0
61,"迷宫挑战","InstanceContent#28","",0,1,-1,-1,-1,-1,20,0,0,0,0
62,"迷宫挑战","InstanceContent#26","",0,1,-1,-1,-1,-1,20,0,0,0,0
63,"迷宫挑战","InstanceContent#30","",0,1,-1,-1,-1,-1,20,0,0,0,0
64,"迷宫挑战","InstanceContent#38","",0,1,-1,-1,-1,-1,20,0,0,0,0
65,"迷宫挑战","InstanceContent#56","",0,1,-1,-1,-1,-1,20,0,0,0,0
66,"迷宫挑战","InstanceContent#59","",0,1,-1,-1,-1,-1,20,0,0,0,0
67,"迷宫挑战","InstanceContent#67","",0,1,-1,-1,-1,-1,20,0,0,0,0
68,"迷宫挑战","InstanceContent#84","",0,1,-1,-1,-1,-1,20,0,0,0,0
69,"大型任务","InstanceContent#30001","",0,1,-1,-1,-1,-1,20,0,0,0,0
70,"大型任务","InstanceContent#30011","",0,1,-1,-1,-1,-1,20,0,0,0,0
71,"大型任务","InstanceContent#30020","",0,1,-1,-1,-1,-1,20,0,0,0,0
72,"大型任务","InstanceContent#30058","",0,1,-1,-1,-1,-1,20,0,0,0,0
73,"大型任务","InstanceContent#30068","",0,1,-1,-1,-1,-1,20,0,0,0,0
74,"大型任务","InstanceContent#30077","",0,1,-1,-1,-1,-1,20,0,0,0,0
75,"大型任务","InstanceContent#30049","",0,1,-1,-1,-1,-1,20,0,0,0,0
76,"大型任务","InstanceContent#30050","",0,1,-1,-1,-1,-1,20,0,0,0,0
77,"大型任务","InstanceContent#30051","",0,1,-1,-1,-1,-1,20,0,0,0,0
78,"大型任务","InstanceContent#30052","",0,1,-1,-1,-1,-1,20,0,0,0,0
79,"大型任务","InstanceContent#30059","",0,1,-1,-1,-1,-1,20,0,0,0,0
80,"大型任务","InstanceContent#30060","",0,1,-1,-1,-1,-1,20,0,0,0,0
81,"大型任务","InstanceContent#30061","",0,1,-1,-1,-1,-1,20,0,0,0,0
82,"大型任务","InstanceContent#30062","",0,1,-1,-1,-1,-1,20,0,0,0,0
83,"大型任务","InstanceContent#30069","",0,1,-1,-1,-1,-1,20,0,0,0,0
84,"大型任务","InstanceContent#30070","",0,1,-1,-1,-1,-1,20,0,0,0,0
85,"大型任务","InstanceContent#30071","",0,1,-1,-1,-1,-1,20,0,0,0,0
86,"大型任务","InstanceContent#30072","",0,1,-1,-1,-1,-1,20,0,0,0,0
87,"大型任务","InstanceContent#30078","",0,1,-1,-1,-1,-1,20,0,0,0,0
88,"大型任务","InstanceContent#30082","",0,1,-1,-1,-1,-1,20,0,0,0,0
89,"大型任务","InstanceContent#30080","",0,1,-1,-1,-1,-1,20,0,0,0,0
90,"大型任务","InstanceContent#30084","",0,1,-1,-1,-1,-1,20,0,0,0,0
91,"大型任务","InstanceContent#30088","",0,1,-1,-1,-1,-1,20,0,0,0,0
92,"大型任务","InstanceContent#30090","",0,1,-1,-1,-1,-1,20,0,0,0,0
93,"大型任务","InstanceContent#30092","",0,1,-1,-1,-1,-1,20,0,0,0,0
94,"大型任务","InstanceContent#30094","",0,1,-1,-1,-1,-1,20,0,0,0,0
95,"大型任务","InstanceContent#30097","",0,1,-1,-1,-1,-1,20,0,0,0,0
96,"大型任务","InstanceContent#30099","",0,1,-1,-1,-1,-1,20,0,0,0,0
97,"大型任务","InstanceContent#30101","",0,1,-1,-1,-1,-1,20,0,0,0,0
98,"大型任务","InstanceContent#30103","",0,1,-1,-1,-1,-1,20,0,0,0,0
99,"讨伐歼灭战","InstanceContent#20037","",0,1,-1,-1,-1,-1,20,0,0,0,0
100,"讨伐歼灭战","InstanceContent#20041","",0,1,-1,-1,-1,-1,20,0,0,0,0
101,"讨伐歼灭战","InstanceContent#20043","",0,1,-1,-1,-1,-1,20,0,0,0,0
102,"讨伐歼灭战","InstanceContent#20051","",0,1,-1,-1,-1,-1,20,0,0,0,0
103,"讨伐歼灭战","InstanceContent#20057","",0,1,-1,-1,-1,-1,20,0,0,0,0
104,"讨伐歼灭战","InstanceContent#20060","",0,1,-1,-1,-1,-1,20,0,0,0,0
105,"迷宫挑战","InstanceContent#15","",0,1,-1,-1,-1,-1,20,0,0,0,0
106,"迷宫挑战","InstanceContent#86","",0,1,-1,-1,-1,-1,20,0,0,0,0
107,"讨伐歼灭战","InstanceContent#20082","",0,1,-1,-1,-1,-1,20,0,0,0,0
108,"对战","InstanceContent#51002","",0,1,-1,-1,-1,-1,20,0,0,0,0
109,"机遇任务","GoldSaucerContent#1","",0,3000,100,-1,-1,-1,3,1,0,0,0
110,"机遇任务","GoldSaucerContent#7","",0,4000,1500,0,-1,-1,4,3,1,0,0
111,"机遇任务","GoldSaucerContent#6","",0,4000,2000,0,-1,-1,4,3,1,0,0
112,"机遇任务","GoldSaucerContent#5","",0,7500,1600,0,-1,-1,8,3,1,0,0
113,"机遇任务","GoldSaucerContent#8","",0,10000,8000,5000,1000,0,10,8,5,3,1
114,"出海垂钓","","",0,8000,5000,2000,-1,-1,10,8,5,0,0
115,"出海垂钓","","",8000,1,-1,-1,-1,-1,50,0,0,0,0
