key,0,1,2
#,Key,,Output
int32,byte,bit&01,Row
0.0,0,False,
1.1,1,True,"忠义量谱"
1.2,3,True,
1.3,4,False,"开启<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>钢铁信念<UIGlow>01</UIGlow><UIForeground>01</UIForeground>技能后，画面上会出现显示该技能发动状态的量谱。
想要集中仇恨时，建议发动钢铁信念。"
1.4,2,False,
1.5,4,False,"<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>职业量谱的说明可以随时在技能菜单中进行查看。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
2.1,1,True,"忠义量谱"
2.2,3,True,
2.3,4,False,"学会<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>忠义精通<UIGlow>01</UIGlow><UIForeground>01</UIForeground>特性后，画面上会出现专用的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>忠义量谱<UIGlow>01</UIGlow><UIForeground>01</UIForeground>。
该量谱不仅会显示钢铁信念的状态，还会显示骑士的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>忠义<UIGlow>01</UIGlow><UIForeground>01</UIForeground>效果的具体量值。
自动攻击命中时会积累忠义量值，消耗忠义量值可以发动<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>盾阵<UIGlow>01</UIGlow><UIForeground>01</UIForeground>、45级学会的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>保护<UIGlow>01</UIGlow><UIForeground>01</UIForeground>和62级学会的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>干预<UIGlow>01</UIGlow><UIForeground>01</UIForeground>技能。"
2.4,2,False,
2.5,3,False,
2.6,4,False,"开启<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>钢铁信念<UIGlow>01</UIGlow><UIForeground>01</UIForeground>技能后，画面上会出现显示该技能发动状态的量谱。
想要集中仇恨时，建议发动钢铁信念。"
2.7,2,False,
2.8,4,False,"<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>职业量谱的说明可以随时在技能菜单中进行查看。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
3.1,1,True,"兽魂量谱"
3.2,3,True,
3.3,4,False,"开启<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>守护<UIGlow>01</UIGlow><UIForeground>01</UIForeground>技能后，画面上会出现显示该技能发动状态的量谱。
想要集中仇恨时，建议发动守护。"
3.4,2,False,
3.5,4,False,"<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>职业量谱的说明可以随时在技能菜单中进行查看。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
4.1,1,True,"兽魂量谱"
4.2,3,True,
4.3,4,False,"学会<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>兽魂<UIGlow>01</UIGlow><UIForeground>01</UIForeground>特性后，画面上会出现专用的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>兽魂量谱<UIGlow>01</UIGlow><UIForeground>01</UIForeground>。
该量谱不仅会显示守护的状态，还会显示代表战士心中野性的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>兽魂<UIGlow>01</UIGlow><UIForeground>01</UIForeground>的具体量值。
<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>原初之魂<UIGlow>01</UIGlow><UIForeground>01</UIForeground>和45级学会的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>钢铁旋风<UIGlow>01</UIGlow><UIForeground>01</UIForeground>等技能都需要通过消耗积累的兽魂量值才能发动。
兽魂量值可以通过发动特定的技能进行积累。"
4.4,2,False,
4.5,3,False,
4.6,4,False,"开启<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>守护<UIGlow>01</UIGlow><UIForeground>01</UIForeground>技能后，画面上会出现显示该技能发动状态的量谱。
想要集中仇恨时，建议发动守护。"
4.7,2,False,
4.8,4,False,"<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>职业量谱的说明可以随时在技能菜单中进行查看。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
5.1,1,True,"暗血量谱"
5.2,3,True,
5.3,4,False,"开启<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>深恶痛绝<UIGlow>01</UIGlow><UIForeground>01</UIForeground>技能后，画面上会出现显示该技能发动状态的量谱。
想要集中仇恨时，建议发动深恶痛绝。"
5.4,2,False,
5.5,4,False,"<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>职业量谱的说明可以随时在技能菜单中进行查看。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
6.1,1,True,"暗黑量谱"
6.2,3,True,
