key,0,1,2,3,4,5,6,7,8,9,10,11
#,UnlockType1,UnlockCriteria1[0],UnlockCriteria1[1],UnlockCriteria1[2],UnlockCriteria1[3],UnlockCriteria1[4],UnlockCriteria1[5],UnlockType2,UnlockCriteria2,UnlockCriteria3,UnlockCriteria4,PrerequisiteType
int32,byte,Row,Row,Row,Row,Row,Row,uint32,Row,Row,Row,bit&01
0,0,,,,,,,0,,,,False
1,10,,,,,,,0,,,,False
2,5,"表情：咧嘴",,"挥手",,,,0,,,,False
3,5,"表情：沉思",,"行礼",,,,0,,,,False
4,5,"表情：思索",,"不满",,,,0,,,,False
5,5,"表情：忍耐",,"不满",,,,0,,,,False
6,5,"行东方礼",,"不满",,,,0,,,,False
7,5,"打招呼",,"不满",,,,0,,,,False
8,5,"帝国式军礼",,"不满",,,,0,,,,False
9,5,"啦哩吼",,"不满",,,,0,,,,False
10,5,"准备战斗",,"不满",,,,0,,,,False
11,5,"欢呼胜利",,"不满",,,,0,,,,False
12,5,"太棒了！",,"不满",,,,0,,,,False
13,5,"心意",,"不满",,,,0,,,,False
14,5,"投掷",,"不满",,,,0,,,,False
15,5,"托眼镜",,"不满",,,,0,,,,False
16,5,"嘘",,"不满",,,,0,,,,False
17,5,"踢踏舞",,"不满",,,,0,,,,False
18,5,"丰饶之舞",,"不满",,,,0,,,,False
19,5,"宫廷之舞",,"不满",,,,0,,,,False
20,5,"绅士之舞",,"不满",,,,0,,,,False
21,5,"绅士风度",,"不满",,,,0,,,,False
22,5,"太阳之舞",,"不满",,,,0,,,,False
23,5,"日月之舞",,"不满",,,,0,,,,False
24,5,"莫古莫古舞",,"不满",,,,0,,,,False
25,5,"哼歌",,"不满",,,,0,,,,False
26,5,"绅士舞步",,"不满",,,,0,,,,False
27,5,"练拳",,"不满",,,,0,,,,False
28,5,"深情拥抱",,"不满",,,,0,,,,True
29,5,"萨维奈舞",,"挥手",,,,0,,,,False
30,5,"黄金之舞",,"挥手",,,,0,,,,False
31,5,"蜜蜂之舞",,"挥手",,,,0,,,,False
32,5,"头痛",,"下跪",,,,0,,,,False
33,5,"害怕",,"张望",,,,0,,,,False
34,5,"单膝跪地",,"张望",,,,0,,,,False
35,5,"坚持主张",,"高兴",,,,0,,,,False
36,5,"吃面包",,"高兴",,,,0,,,,False
37,5,"吃饭团",,"高兴",,,,0,,,,False
