key,0,1,2,3,4,5,6,7,8
#,RacingChocoboNameCategory,,,,,Name[0],Name[1],Name[2],
int32,RacingChocoboNameCategory,bool,bool,bool,bool,RacingChocoboName,RacingChocoboName,RacingChocoboName,uint16
0,"",False,False,False,False,"","","",0
1,"",False,False,False,False,"","","",0
2,"",False,False,False,False,"","","",0
3,"",False,False,False,False,"","","",0
4,"",False,False,False,False,"","","",0
5,"颜色",False,False,False,True,"Doré","","",0
6,"颜色",False,False,False,True,"Dorée","","",0
7,"材料",False,False,False,True,"Noire","","",0
8,"颜色",False,True,False,False,"白银","白银","白银",81
9,"颜色",False,True,False,False,"Fer","Fer","Fer",121
10,"颜色",False,False,False,True,"Grenat","Grenat","Grenat",123
11,"颜色",False,False,False,True,"钢铁","","",0
12,"颜色",False,False,True,False,"金属","","",0
13,"颜色",False,False,True,False,"Métal","Métal","Métal",128
14,"颜色",False,False,True,False,"Métallique","","",0
15,"颜色",False,False,False,True,"Opale","","",0
16,"颜色",False,False,False,True,"Perle","","",0
17,"颜色",False,False,False,True,"丝绸","","",0
18,"颜色",False,True,False,True,"Seidiger","Seidiger","Seidiger",143
19,"颜色",False,True,False,False,"榍石","榍石","榍石",146
20,"颜色",False,False,False,True,"Geölte","","",0
21,"颜色",False,False,False,True,"圆滑的","","",0
22,"颜色",False,False,False,True,"Parfait","","",0
23,"天文地理",False,False,False,True,"完美的","","",0
24,"植物",False,False,False,True,"积极的","","",0
25,"颜色",False,False,False,True,"高级的","","",0
26,"颜色",False,True,False,False,"Pur","Pur","Pur",218
27,"颜色",False,False,False,True,"纯粹的","","",0
28,"颜色",False,True,False,False,"Edler","Edler","Edler",258
29,"颜色",False,True,False,True,"华丽的","华丽的","华丽的",266
30,"颜色",False,True,False,False,"Fringante","Fringante","Fringante",301
31,"颜色",False,False,False,True,"纯洁的","","",0
32,"颜色",False,False,False,True,"Innocente","","",0
33,"颜色",False,False,False,True,"光辉","","",0
34,"颜色",False,False,False,True,"混沌","","",0
35,"颜色",False,True,False,False,"小妖精","小妖精","小妖精",391
36,"颜色",False,False,False,True,"传说","","",0
37,"颜色",False,False,True,False,"Campagnarde","","",0
38,"颜色",False,False,True,False,"帽子","","",0
39,"颜色",False,False,True,False,"Citadin","","",0
40,"颜色",False,True,True,False,"Mercure","Mercure","Mercure",610
41,"颜色",False,False,True,False,"水星","","",0
42,"颜色",False,False,True,False,"Méridional","","",0
43,"颜色",False,False,True,False,"Méridionale","","",0
44,"颜色",False,True,False,False,"Occidentale","Occidentale","Occidentale",626
45,"颜色",False,True,False,False,"Orientale","Orientale","Orientale",628
46,"颜色",False,False,True,False,"溪流","","",0
47,"颜色",False,False,True,False,"","","",0
48,"颜色",False,False,True,False,"太阳","","",0
49,"颜色",False,False,False,True,"迅雷","","",0
50,"颜色",False,False,False,True,"雷","","",0
51,"颜色",False,True,True,True,"大风","大风","大风",737
52,"颜色",False,True,False,False,"Zéphyr","Zéphyr","Zéphyr",751
53,"材料",False,False,False,True,"火","","",0
54,"颜色",False,False,False,True,"闪光","","",0
55,"颜色",True,False,False,False,"男爵夫人","","",0
56,"颜色",False,True,False,False,"Herzog","Herzog","Herzog",984
57,"颜色",False,False,False,True,"女士","","",0
58,"颜色",False,False,False,True,"尊贵的","","",0
59,"颜色",False,False,False,True,"国王","","",0
60,"颜色",False,False,False,True,"贵族","","",0
61,"颜色",False,False,False,True,"Royale","","",0
62,"材料",False,False,False,True,"最终","最终","最终",1049
63,"颜色",False,False,False,True,"一","","",0
64,"颜色",False,True,False,True,"Maximale","Maximale","Maximale",1077
65,"颜色",False,False,False,True,"Vieux","","",0
66,"颜色",False,False,False,True,"Mataemon","","",0
67,"颜色",False,True,False,False,"战车","战车","战车",1184
68,"颜色",False,False,True,False,"Hiden","","",0
69,"颜色",False,False,True,False,"Hiten","","",0
70,"颜色",False,False,True,False,"有意思的","","",0
71,"颜色",False,False,False,True,"Ichimonji","Ichimonji","Ichimonji",1215
72,"颜色",False,False,False,True,"圆球","","",0
73,"颜色",False,False,False,True,"La","","",0
74,"颜色",False,False,False,True,"Licol","","",0
75,"颜色",False,True,False,False,"南","南","南",1262
76,"颜色",False,False,True,False,"终极","终极","终极",1266
77,"颜色",False,False,True,False,"Hermès","","",0
78,"颜色",False,False,True,False,"Séléné","","",0
79,"颜色",False,False,True,False,"","","",0
80,"颜色",False,False,True,False,"风化","","",0
81,"颜色",False,False,True,False,"来","来","来",1316
82,"颜色",False,False,True,False,"奔跑吧","","",0
83,"颜色",False,True,False,False,"","","",1321
84,"颜色",False,True,False,False,"另一个","另一个","另一个",1324
85,"颜色",False,True,False,False,"破碎","破碎","破碎",1336
86,"颜色",False,True,False,True,"状况","状况","状况",1522
87,"颜色",False,False,False,True,"度假村","","",0
88,"颜色",False,False,False,True,"物","","",0
89,"颜色",False,False,False,True,"加农炮","","",0
90,"颜色",False,True,False,True,"眼神","眼神","眼神",1539
91,"颜色",False,False,False,True,"","","",0
92,"颜色",False,False,True,False,"献给恒辉队","","",0
93,"颜色",False,False,True,False,"献给双蛇党","","",0
94,"颜色",False,False,True,False,"雄鸡","","",0
95,"颜色",False,True,False,False,"招","招","招",1610
96,"颜色",False,True,False,False,"平方","平方","平方",1616
97,"材料",False,False,False,True,"帝王","","",0
98,"修饰2",False,True,False,False,"白","白","白",10
99,"材料",False,True,False,True,"Blaue","Blaue","Blaue",12
100,"材料",False,False,False,True,"金色","","",0
101,"材料",False,True,False,False,"深蓝","深蓝","深蓝",29
102,"材料",False,False,False,True,"Cuivrée","","",0
103,"材料",False,True,True,False,"Écarlate","Écarlate","Écarlate",36
104,"材料",False,True,False,False,"玄钢","玄钢","玄钢",114
105,"材料",False,False,False,True,"Diamant","","",0
106,"材料",False,True,True,True,"划过夜空","划过夜空","划过夜空",176
107,"材料",False,False,False,True,"Spécial","","",0
108,"材料",False,True,False,False,"美丽","美丽","美丽",250
109,"材料",False,True,False,False,"仁慈的","仁慈的","仁慈的",282
110,"材料",False,False,False,True,"大胆的","","",0
111,"材料",False,False,False,True,"Furie","","",0
112,"材料",False,True,False,False,"Impétueuse","Impétueuse","Impétueuse",309
113,"材料",False,False,False,True,"Impétueux","","",0
114,"材料",False,True,False,False,"Prodigue","Prodigue","Prodigue",328
115,"材料",False,False,True,True,"Vive","","",0
116,"材料",False,True,False,False,"Vorwitzige","Vorwitzige","Vorwitzige",359
117,"材料",False,False,True,False,"新星","","",0
118,"材料",False,True,False,False,"Prodige","Prodige","Prodige",422
119,"材料",False,True,False,False,"Akane","Akane","Akane",427
120,"材料",False,False,False,True,"Ayame","","",0
121,"材料",False,False,False,True,"Ailé","","",0
122,"材料",False,True,False,False,"飞翼","飞翼","飞翼",579
123,"材料",False,False,False,True,"Oriental","","",0
124,"材料",False,True,False,False,"旋风","旋风","旋风",744
125,"材料",False,True,True,True,"哔哩哔哩的","哔哩哔哩的","哔哩哔哩的",758
126,"材料",False,False,True,False,"百夫长","","",0
127,"材料",False,True,False,False,"行者","行者","行者",942
128,"材料",False,False,False,True,"胜利者","","",0
129,"材料",False,False,False,True,"成功的","","",0
130,"材料",False,True,True,False,"女主角","女主角","女主角",983
131,"材料",False,True,True,False,"Prinzessin","Prinzessin","Prinzessin",1026
132,"材料",False,False,False,True,"女王","","",0
133,"材料",False,False,False,True,"Courte","","",0
134,"材料",False,False,False,True,"Vieille","","",0
135,"材料",False,True,False,False,"比塞弗勒斯","比塞弗勒斯","比塞弗勒斯",1107
136,"材料",False,True,True,True,"Gridanisches","Gridanisches","Gridanisches",1158
137,"材料",False,False,True,False,"线","","",0
138,"材料",False,False,False,True,"Ma","","",0
139,"材料",False,True,False,False,"Martingale","Martingale","Martingale",1227
140,"材料",False,False,True,True,"宝物","","",0
141,"其他",False,False,True,False,"天使般的","天使般的","天使般的",1263
142,"材料",False,False,True,False,"诺菲卡的","诺菲卡的","诺菲卡的",1275
143,"材料",False,False,True,False,"逆时针","","",0
144,"材料",False,False,True,False,"常","","",0
