key,0,1,2,3,4
#,Action{Type},Action,,,
int32,byte,Row,bit&01,bit&02,int32
0.0,0,,True,True,0
1.0,2,"王权剑连击",True,True,0
1.1,1,"先锋剑",False,False,0
1.2,1,"暴乱剑",False,False,0
1.3,1,"王权剑",False,False,0
1.4,1,"强盾猛击",True,True,0
1.5,1,"圣灵",True,True,0
1.6,1,"绝对统治",True,True,0
1.7,1,"调停",True,True,0
1.8,1,"圣盾阵",True,True,0
1.9,1,"卫护",True,True,0
1.10,1,"列阵",True,True,0
1.11,1,"赎罪剑",False,False,0
1.12,1,"祈告剑",False,False,0
1.13,1,"葬送剑",False,False,0
1.14,1,"悔罪",False,False,0
1.15,1,"信念之剑",False,False,0
1.16,1,"真理之剑",False,False,0
1.17,1,"英勇之剑",False,False,0
1.18,1,"军用圣灵药",True,True,0
1.19,1,"自愈",True,True,0
1.20,1,"净化",True,True,0
1.21,1,"防御",True,True,0
1.22,1,"冲刺",True,True,0
2.0,2,"暴风斩连击",True,True,0
2.1,1,"重劈",False,False,0
2.2,1,"凶残裂",False,False,0
2.3,1,"暴风斩",False,False,0
2.4,1,"蛮荒崩裂",True,True,0
2.5,1,"猛攻",True,True,0
2.6,1,"群山隆起",True,True,0
2.7,1,"献身",True,True,0
2.8,1,"原初的血气",True,True,0
2.9,1,"原初的怒号",True,True,0
2.10,1,"裂石飞环",False,False,0
2.11,1,"尽毁",False,False,0
2.12,1,"狂魂",False,False,0
2.13,1,"混沌旋风",False,False,0
2.14,1,"原初的怒震",False,False,0
2.15,1,"军用圣灵药",True,True,0
2.16,1,"自愈",True,True,0
2.17,1,"净化",True,True,0
2.18,1,"防御",True,True,0
2.19,1,"冲刺",True,True,0
2.20,0,,True,True,0
2.21,0,,True,True,0
3.0,2,"噬魂斩连击",True,True,0
3.1,1,"重斩",False,False,0
3.2,1,"吸收斩",False,False,0
3.3,1,"噬魂斩",False,False,0
3.4,1,"刺穿",True,True,0
3.5,1,"暗影使者",True,True,0
3.6,1,"跳斩",True,True,0
3.7,1,"至黑之夜",True,True,0
3.8,1,"腐秽大地",True,True,0
3.9,1,"夜昏",True,True,0
3.10,1,"血红乱",False,False,0
3.11,1,"报应",False,False,0
3.12,1,"戮山",False,False,0
3.13,1,"腐秽黑暗",False,False,0
3.14,1,"掠影的蔑视",False,False,0
3.15,1,"军用圣灵药",True,True,0
3.16,1,"自愈",True,True,0
3.17,1,"净化",True,True,0
3.18,1,"防御",True,True,0
3.19,1,"冲刺",True,True,0
3.20,0,,True,True,0
4.0,2,"梦幻斗舞连击",True,True,0
4.1,1,"双龙脚",False,False,0
4.2,1,"双掌打",False,False,0
4.3,1,"破碎拳",False,False,0
4.4,1,"猿舞连击",False,False,0
4.5,1,"龙颚正拳",False,False,0
4.6,1,"豹袭崩拳",False,False,0
4.7,1,"梦幻斗舞",False,False,0
4.8,1,"斗气弹",True,True,0
4.9,1,"绝空拳",True,True,0
4.10,1,"凤凰舞",True,True,0
4.11,1,"金刚极意",True,True,0
4.12,1,"轻身步法",True,True,0
4.13,1,"陨石冲击",True,True,0
4.14,1,"乾坤斗气弹",False,False,0
4.15,1,"金刚转轮",False,False,0
4.16,1,"军用圣灵药",True,True,0
4.17,1,"自愈",True,True,0
4.18,1,"净化",True,True,0
4.19,1,"防御",True,True,0
4.20,1,"冲刺",True,True,0
5.0,2,"云蒸龙变连击",True,True,0
5.1,1,"龙眼雷电",False,False,0
5.2,1,"龙牙龙爪",False,False,0
5.3,1,"龙尾大回旋",False,False,0
5.4,1,"云蒸龙变",False,False,0
5.5,1,"樱花缭乱",True,True,0
5.6,1,"武神枪",True,True,0
5.7,1,"高跳",True,True,0
5.8,1,"回避跳跃",True,True,0
5.9,1,"恐惧咆哮",True,True,0
5.10,1,"冲天",True,True,0
5.11,1,"苍穹刺",False,False,0
5.12,1,"渡星冲",False,False,0
5.13,1,"死者之岸",False,False,0
5.14,1,"天龙点睛",False,False,0
5.15,1,"天穹破碎",False,False,0
5.16,1,"军用圣灵药",True,True,0
5.17,1,"自愈",True,True,0
5.18,1,"净化",True,True,0
5.19,1,"防御",True,True,0
5.20,1,"冲刺",True,True,0
5.21,0,,True,True,0
5.22,0,,True,True,0
6.0,2,"旋风刃连击",True,True,0
6.1,1,"双刃旋",False,False,0
6.2,1,"绝风",False,False,0
6.3,1,"旋风刃",False,False,0
6.4,1,"风魔手里剑",True,True,0
6.5,1,"介毒之术",True,True,0
6.6,1,"三印自在",True,True,0
6.7,1,"分身之术",True,True,0
6.8,1,"缩地",True,True,0
6.9,1,"星遁天诛",True,True,0
6.10,1,"是生灭法",False,False,0
