key,0,1,2,3,4,5,6,7
#,Name,Icon,Quest,AcceptTalk,FailTalk,,,
int32,str,Image,Quest,DefaultTalk,DefaultTalk,bit&01,uint16,uint16
262144,"",,,,,False,0,0
262145,"",,,,,False,0,0
262151,"购买道具",,,,,True,0,0
262152,"",,,,,False,0,0
262153,"",,,,,False,0,0
262154,"",,,,,False,0,0
262155,"",,,,,False,0,0
262156,"",,,,,False,0,0
262157,"",,,,,True,0,0
262158,"购买道具",,,,,True,0,0
262159,"",,,,,False,0,0
262160,"",,,,,False,0,0
262161,"",,,,,False,0,0
262162,"",,,,,False,0,0
262163,"",,,,,False,0,0
262164,"购买道具",,,,,True,0,0
262165,"",,,,,False,0,0
262166,"",,,,,False,0,0
262167,"",,,,,False,0,0
262168,"",,,,,False,0,0
262169,"",,,,,False,0,0
262170,"",,,,,True,0,0
262171,"",,,,,True,0,0
262172,"",,,,,True,0,0
262173,"",,,,,True,0,0
262174,"",,,,,True,0,0
262175,"",,,,,True,0,0
262176,"",,,,,True,0,0
262177,"",,,,,True,0,0
262178,"",,,,,False,0,0
262179,"",,,,,False,0,0
262180,"购买道具",,,,,True,0,0
262181,"购买道具",,,,,True,0,0
262182,"",,,,,True,0,0
262183,"",,,,,False,0,0
262184,"",,,,,False,0,0
262185,"",,,,,True,0,0
262186,"",,,,,False,0,0
262187,"",,,,,False,0,0
262188,"",,,,,False,0,0
262189,"",,,,,False,0,0
262190,"",,,,,True,0,0
262191,"购买道具",,,,,True,0,0
262192,"",,,,,True,0,0
262193,"",,,,,False,0,0
262194,"",,,,,False,0,0
262195,"",,,,,False,0,0
262196,"",,,,,False,0,0
262197,"",,,,,True,0,0
262198,"",,,,,False,0,0
262199,"",,,,,False,0,0
262200,"",,,,,True,0,0
262201,"购买道具",,,,,True,0,0
262202,"",,,,,True,0,0
262203,"",,,,,False,0,0
262204,"",,,,,False,0,0
262205,"",,,,,False,0,0
262206,"",,,,,False,0,0
262207,"",,,,,True,0,0
262208,"",,,,,True,0,0
262209,"购买武器",,,,,True,0,0
262210,"",,,,,True,0,0
262211,"",,,,,True,0,0
262212,"购买战斗饰品",,,,,True,0,0
262213,"购买战斗防具",,,,,True,0,0
262214,"购买能工巧匠及大地使者防具",,,,,True,0,0
262215,"购买武器",,,,,True,0,0
262216,"购买工具",,,,,True,0,0
262217,"购买武器",,,,,True,0,0
262218,"购买战斗防具",,,,,True,0,0
262219,"购买能工巧匠及大地使者防具",,,,,True,0,0
262221,"购买工具",,,,,True,0,0
262222,"购买武器",,,,,True,0,0
262223,"购买战斗防具",,,,,True,0,0
262224,"购买能工巧匠及大地使者防具",,,,,True,0,0
262225,"购买工具",,,,,True,0,0
262226,"购买武器",,,,,True,0,0
262227,"购买战斗防具",,,,,True,0,0
262228,"购买能工巧匠及大地使者防具",,,,,True,0,0
262229,"购买工具",,,,,True,0,0
262230,"购买武器",,,,,True,0,0
262231,"购买战斗防具",,,,,True,0,0
262232,"购买能工巧匠及大地使者防具",,,,,True,0,0
262233,"购买工具",,,,,True,0,0
262234,"购买武器",,,,,True,0,0
262235,"购买战斗防具",,,,,True,0,0
262236,"购买能工巧匠及大地使者防具",,,,,True,0,0
262237,"购买工具",,,,,True,0,0
262238,"购买武器",,,,,True,0,0
262239,"购买战斗防具",,,,,True,0,0
262240,"购买能工巧匠及大地使者防具",,,,,True,0,0
262241,"购买工具",,,,,True,0,0
262242,"购买武器",,,,,True,0,0
262243,"购买战斗防具",,,,,True,0,0
262244,"购买能工巧匠及大地使者防具",,,,,True,0,0
262245,"购买工具",,,,,True,0,0
262246,"购买武器",,,,,True,0,0
262247,"购买战斗防具",,,,,True,0,0
262248,"购买能工巧匠及大地使者防具",,,,,True,0,0
262249,"购买工具",,,,,True,0,0
262250,"购买武器",,,,,True,0,0
262251,"购买战斗防具",,,,,True,0,0
262252,"购买能工巧匠及大地使者防具",,,,,True,0,0
262253,"购买工具",,,,,True,0,0
262254,"购买武器",,,,,True,0,0
262255,"购买战斗防具",,,,,True,0,0
262256,"购买能工巧匠及大地使者防具",,,,,True,0,0
262257,"",,,,,True,0,0
262258,"购买工具",,,,,True,0,0
262259,"购买武器",,,,,True,0,0
262260,"购买战斗防具",,,,,True,0,0
262261,"购买能工巧匠及大地使者防具",,,,,True,0,0
262262,"购买工具",,,,,True,0,0
262263,"购买武器",,,,,True,0,0
262264,"购买战斗防具",,,,,True,0,0
262265,"购买能工巧匠及大地使者防具",,,,,True,0,0
262266,"购买工具",,,,,True,0,0
262267,"购买武器",,,,,True,0,0
262268,"购买战斗防具",,,,,True,0,0
262269,"购买能工巧匠及大地使者防具",,,,,True,0,0
262270,"购买武器",,,,,True,0,0
262271,"购买工具",,,,,True,0,0
262272,"购买战斗防具",,,,,True,0,0
262273,"购买能工巧匠及大地使者防具",,,,,True,0,0
262274,"购买工具",,,,,True,0,0
262275,"购买武器",,,,,True,0,0
262276,"购买战斗防具",,,,,True,0,0
262277,"购买能工巧匠及大地使者防具",,,,,True,0,0
262278,"购买武器",,,,,True,0,0
262279,"购买工具",,,,,True,0,0
262280,"购买战斗防具",,,,,True,0,0
262281,"购买能工巧匠及大地使者防具",,,,,True,0,0
262282,"购买工具",,,,,True,0,0
262283,"购买武器",,,,,True,0,0
262284,"购买战斗防具",,,,,True,0,0
262285,"购买能工巧匠及大地使者防具",,,,,True,0,0
262286,"购买武器",,,,,True,0,0
262287,"购买工具",,,,,True,0,0
262288,"购买战斗防具",,,,,True,0,0
