key,0,1,2
#,PercentOfLevelLow,PercentOfLevelMid,PercentOfLevelHigh
offset,0,1,2
int32,UInt8,UInt8,UInt8
0.0,0,0,0
1.0,16,16,16
1.1,16,16,16
1.2,16,16,16
1.3,16,16,16
1.4,16,16,16
1.5,16,16,16
1.6,16,16,16
1.7,16,16,16
1.8,16,16,16
1.9,16,16,16
1.10,16,16,16
1.11,16,16,16
1.12,15,15,15
1.13,14,14,14
1.14,13,13,13
1.15,12,12,12
1.16,12,12,12
1.17,12,12,12
1.18,12,12,12
1.19,12,12,12
1.20,12,12,12
1.21,12,12,12
1.22,12,12,12
1.23,12,12,12
1.24,12,12,12
1.25,12,12,12
1.26,12,12,12
1.27,12,12,12
1.28,12,12,12
1.29,12,12,12
1.30,12,12,12
1.31,12,12,12
1.32,12,12,12
1.33,12,12,12
1.34,12,12,12
1.35,12,12,12
1.36,12,12,12
1.37,12,12,12
1.38,12,12,12
1.39,12,12,12
1.40,12,12,12
1.41,12,12,12
1.42,12,12,12
1.43,12,12,12
1.44,12,12,12
2.0,16,16,16
2.1,16,16,16
2.2,16,16,16
2.3,16,16,16
2.4,16,16,16
2.5,16,16,16
2.6,16,16,16
2.7,15,15,15
2.8,14,14,14
2.9,13,13,13
2.10,12,12,12
2.11,12,12,12
2.12,12,12,12
2.13,12,12,12
2.14,12,12,12
2.15,12,12,12
2.16,12,12,12
2.17,12,12,12
2.18,12,12,12
2.19,12,12,12
2.20,12,12,12
2.21,12,12,12
2.22,12,12,12
2.23,12,12,12
2.24,12,12,12
2.25,12,12,12
2.26,12,12,12
2.27,12,12,12
2.28,12,12,12
2.29,12,12,12
2.30,12,12,12
2.31,12,12,12
2.32,12,12,12
2.33,12,12,12
2.34,12,12,12
2.35,12,12,12
2.36,12,12,12
2.37,12,12,12
2.38,12,12,12
2.39,12,12,12
3.0,16,16,16
3.1,16,16,16
3.2,16,16,16
3.3,16,16,16
3.4,16,16,16
3.5,15,15,15
3.6,14,14,14
3.7,13,13,13
3.8,12,12,12
3.9,12,12,12
3.10,12,12,12
3.11,12,12,12
3.12,12,12,12
3.13,12,12,12
3.14,12,12,12
3.15,12,12,12
3.16,12,12,12
3.17,12,12,12
3.18,12,12,12
3.19,12,12,12
3.20,12,12,12
3.21,12,12,12
3.22,12,12,12
3.23,12,12,12
3.24,12,12,12
3.25,12,12,12
3.26,12,12,12
3.27,12,12,12
3.28,12,12,12
3.29,12,12,12
3.30,12,12,12
3.31,12,12,12
3.32,12,12,12
3.33,12,12,12
3.34,12,12,12
3.35,12,12,12
3.36,12,12,12
3.37,12,12,12
4.0,16,16,16
4.1,15,15,15
4.2,14,14,14
4.3,13,13,13
4.4,12,12,12
4.5,12,12,12
4.6,12,12,12
4.7,12,12,12
4.8,12,12,12
4.9,12,12,12
4.10,12,12,12
4.11,12,12,12
4.12,12,12,12
4.13,12,12,12
4.14,12,12,12
4.15,12,12,12
4.16,12,12,12
4.17,12,12,12
4.18,12,12,12
4.19,12,12,12
4.20,12,12,12
4.21,12,12,12
4.22,12,12,12
4.23,12,12,12
4.24,12,12,12
4.25,12,12,12
4.26,12,12,12
4.27,12,12,12
4.28,12,12,12
4.29,12,12,12
4.30,12,12,12
4.31,12,12,12
4.32,12,12,12
4.33,12,12,12
5.0,12,12,12
5.1,12,12,12
5.2,12,12,12
5.3,12,12,12
5.4,12,12,12
5.5,12,12,12
5.6,12,12,12
5.7,12,12,12
5.8,12,12,12
5.9,12,12,12
5.10,12,12,12
5.11,12,12,12
5.12,12,12,12
5.13,12,12,12
5.14,12,12,12
5.15,12,12,12
5.16,12,12,12
5.17,12,12,12
5.18,12,12,12
5.19,12,12,12
5.20,12,12,12
5.21,12,12,12
5.22,12,12,12
