key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
offset,126,126,40,44,126,126,48,116,0,8,16,24,32,117,118,119,120,121,122,123,124,125,52,84,56,88,60,92,64,96,68,100,72,104,76,108,80,112
Int32,PackedBool0,PackedBool1,UInt32,UInt32,PackedBool2,PackedBool3,UInt32,UInt8,UInt64,UInt64,UInt64,UInt64,UInt64,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32
0,False,False,0,90,False,True,6603,2,2213,9281,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647
1,False,True,3356,90,False,True,6604,2,2213,585415,0,0,0,1,1,0,0,0,0,0,0,0,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647
2,True,False,0,90,False,False,0,2,2213,657270971,0,0,0,1,1,0,0,0,0,0,0,0,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647
3,False,True,990,90,False,True,2840,3,570426,8617,40307846,0,0,1,2,0,0,0,0,0,0,0,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647
4,False,True,2340,90,False,True,5380,3,38519,9430,152487,0,0,1,1,0,0,0,0,0,0,0,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647
5,True,True,0,90,False,False,0,3,38519,9430,155619,0,0,1,1,0,0,0,0,0,0,0,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647
6,True,True,0,90,False,False,0,3,38519,9430,9528,0,0,0,0,0,0,0,0,0,0,0,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647
7,False,False,0,90,False,True,6690,2,2213,38118,0,0,0,2,1,2,0,0,0,0,0,0,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647
8,False,True,3400,90,False,True,6691,3,2213,2311538,2291752,0,0,1,1,0,0,0,0,0,0,0,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647
9,False,True,3401,90,False,True,6692,3,2213,2311538,648040,0,0,1,1,0,0,0,0,0,0,0,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647
10,False,True,3402,90,False,True,6693,3,2213,2311538,39230,0,0,3,1,1,2,0,0,0,0,0,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647
11,False,True,3407,90,False,True,6694,3,2213,2311538,40919835,0,0,0,0,0,0,0,0,0,0,0,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647
12,False,True,3403,90,False,True,6695,3,2213,2311538,2270447,0,0,3,1,1,2,0,0,0,0,0,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647
13,False,True,3404,90,False,True,6696,3,2213,2311538,9379,0,0,3,1,1,1,0,0,0,0,0,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647
14,False,True,3405,90,False,True,6697,3,2213,2311538,9649,0,0,0,0,0,0,0,0,0,0,0,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647
15,False,True,3406,90,False,True,6698,3,2213,2311538,9528,0,0,0,0,0,0,0,0,0,0,0,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647
16,True,True,0,90,False,False,0,2,10062818,9095638257,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647
17,False,True,3500,90,False,True,314,1,155849350,0,0,0,0,1,1,0,0,0,0,0,0,0,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647
18,False,True,3501,90,False,True,1450,2,583810695,2134553316,0,0,0,1,1,0,0,0,0,0,0,0,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647
19,False,True,3502,90,False,True,1451,2,583810695,39151,0,0,0,1,1,0,0,0,0,0,0,0,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647
20,False,True,3503,90,False,True,1452,2,583810695,38577677288,0,0,0,0,0,0,0,0,0,0,0,0,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647,-2147483648,2147483647
