key,0
#,
offset,0
Int32,UInt16
65630.0,0
66027.0,1
66027.1,2
66222.0,3
66222.1,4
66897.0,1
66897.1,2
67144.0,1
67144.1,2
67147.0,1
67147.1,2
67177.0,1
67177.1,2
67181.0,1
67181.1,2
67195.0,1
67195.1,2
67202.0,1
67202.1,2
67204.0,1
67204.1,2
67699.0,1
67699.1,2
67741.0,0
67783.0,1
67783.1,2
67822.0,1
67822.1,2
67872.0,0
68089.0,1
68089.1,2
68509.0,1
68509.1,2
68607.0,1
68607.1,2
68830.0,1
68830.1,2
68846.0,1
68846.1,2
68849.0,1
68849.1,2
68860.0,0
68914.0,1
68914.1,2
69179.0,1
69179.1,2
69300.0,1
69300.1,2
69305.0,1
69305.1,2
69545.0,1
69545.1,2
69935.0,1
69935.1,2
69950.0,1
69950.1,2
69995.0,1
69995.1,2
70012.0,1
70012.1,2
70208.0,1
70208.1,2
70275.0,1
70275.1,2
70290.0,1
70290.1,2
70348.0,1
70348.1,2
70351.0,1
70351.1,2
70402.0,1
70402.1,2
70407.0,0
70410.0,1
70410.1,2
70444.0,1
70444.1,2
70469.0,0
70831.0,1
70831.1,2
70836.0,1
70836.1,2
70841.0,1
70841.1,2
70846.0,1
70846.1,2
70847.0,0
70905.0,1
70905.1,1
70914.0,1
70914.1,2
70974.0,1
70974.1,2
