key,0
#,NestHandler
offset,0
Int32,UInt32
0.0,0
720896.0,2883642
720896.1,2883643
720896.2,2883644
720896.3,2883645
720896.4,2883646
720896.5,2883647
720896.6,2883648
720896.7,2883649
720896.8,2883650
720896.9,2883651
720896.10,2883652
720896.11,2883653
720896.12,2883654
720896.13,2883655
720896.14,2883656
720896.15,2883657
720896.16,2883658
720896.17,2883659
720896.18,2883660
720896.19,2883661
720896.20,2883662
720896.21,2883663
720896.22,2883664
720896.23,2883665
720896.24,2883666
720896.25,2883668
720896.26,2883669
720896.27,2883670
720896.28,2883671
720896.29,2883672
720896.30,2883683
720896.31,2883697
720897.0,262925
720897.1,1769929
720897.2,1769930
720897.3,1769931
720897.4,1770340
720897.5,1770710
720897.6,1769932
720898.0,3211265
720898.1,3473419
720899.0,3407878
720899.1,3604491
720899.2,3407880
720900.0,3604489
720900.1,2883682
720901.0,1770087
720901.1,3604492
720902.0,2883685
720902.1,3604495
720903.0,262925
720903.1,1770337
720903.2,1770338
720903.3,1770339
720903.4,1770340
720903.5,1770711
720903.6,1769932
720904.0,262925
720904.1,1770935
720904.2,1770937
720904.3,1770938
720904.4,1770340
720904.5,1770936
720904.6,1769932
720905.0,262925
720905.1,1770939
720905.2,1770941
720905.3,1770942
720905.4,1770340
720905.5,1770940
720905.6,1769932
720906.0,3604507
720906.1,2883698
